,M,%NecONG,%NecRO,%NecRA,%VolONG,%VolRO,%VolRA,SuONG,SuRO,VisONG,VisRO,VisRA,Dis,Dias,Camp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,%Comp
20,4,0.5666666667,0.5666666667,0.5466666667,0.47368421050000004,0.47368421050000004,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-559,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7352941176000001
21,4,0.5700000000000001,0.5700000000000001,0.6526315789,0.5,0.5,0.6428571429000001,0,0,0.0,0.0,0.2727272727,1.1594534489,-549,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5454545455
22,5,0.65,0.65,0.6299212598,0.75,0.75,0.3870967742,0,0,0.0,0.0,0.4,1.1594534489,-542,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.65625
23,5,0.5972222222,0.6133333333000001,0.6526315789,0.4705882353,0.4761904762,0.6428571429000001,0,0,0.0,0.5,0.2727272727,1.1594534489,-530,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6071428571
24,5,0.6916666667,0.6916666667,0.6460807601,0.4666666667,0.4666666667,0.3851351351,0,0,0.0,0.0,1.5,1.1594534489,-518,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.303030303
25,5,0.6344827586,0.6344827586,0.5466666667,0.7307692308,0.7307692308,0.46428571430000004,0,0,0.2,0.2,0.0,1.1594534489,-523,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4444444444
26,6,0.6833333333,0.6305732484000001,0.6526315789,0.8333333333,0.6666666667000001,0.6428571429000001,0,3,0.0,1.1428571429,0.2727272727,1.1594534489,-510,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.7352941176000001
27,6,0.6900000000000001,0.6892680736,0.5950413223000001,0.5454545455,0.6153846154,0.5416666667,0,1,0.0,3.25,1.0,1.1594534489,-493,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5789473684
28,6,0.8224299065,0.8224299065,0.6299212598,0.37037037040000004,0.37037037040000004,0.3870967742,0,0,0.0,0.0,0.4,1.1594534489,-499,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5777777778000001
29,2,0.6181102362,0.6305732484000001,0.6299212598,0.6444444444,0.6666666667000001,0.3870967742,3,3,1.6,1.1428571429,0.4,1.1594534489,109,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.46
30,8,0.6181102362,0.6305732484000001,0.6526315789,0.6444444444,0.6666666667000001,0.6428571429000001,3,3,1.6,1.1428571429,0.2727272727,1.1594534489,279,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.6052631579000001
31,6,0.6842105263,0.6842105263,0.6842105263,0.4666666667,0.4666666667,0.4666666667,0,0,0.0,0.0,0.0,1.1594534489,-488,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857143
32,7,0.5972222222,0.6133333333000001,0.6526315789,0.4705882353,0.4761904762,0.6428571429000001,0,0,0.0,0.5,0.2727272727,1.1594534489,-481,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.4594594595
33,7,0.6344827586,0.6344827586,0.7921440262,0.7307692308,0.7307692308,0.7222222222,0,0,0.2,0.2,1.375,1.1594534489,-468,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6470588235
34,7,0.5666666667,0.5666666667,0.5466666667,0.47368421050000004,0.47368421050000004,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-463,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.525
35,7,0.5700000000000001,0.5700000000000001,0.6526315789,0.5,0.5,0.6428571429000001,0,0,0.0,0.0,0.2727272727,1.1594534489,-458,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5277777778
36,8,0.65,0.65,0.7921440262,0.75,0.75,0.7222222222,0,0,0.0,0.0,1.375,1.1594534489,-449,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.7058823529
37,8,0.8224299065,0.8224299065,0.7921440262,0.37037037040000004,0.37037037040000004,0.7222222222,0,0,0.0,0.0,1.375,1.1594534489,-442,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9411764706
38,1,0.6181102362,0.6305732484000001,0.7921440262,0.6444444444,0.6666666667000001,0.7222222222,3,3,1.6,1.1428571429,1.375,1.1594534489,82,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.7317073171
39,8,0.6916666667,0.6916666667,0.6460807601,0.4666666667,0.4666666667,0.3851351351,0,0,0.0,0.0,1.5,1.1594534489,-436,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571
4,1,0.6916666667,0.6916666667,0.6460807601,0.4666666667,0.4666666667,0.3851351351,0,0,0.0,0.0,1.5,1.1594534489,-639,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9117647059
40,10,0.6181102362,0.6305732484000001,0.6460807601,0.6444444444,0.6666666667000001,0.3851351351,3,3,1.6,1.1428571429,1.5,1.1594534489,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5
41,5,0.6892336624000001,0.6892680736,0.7921440262,0.6428571429000001,0.6153846154,0.7222222222,1,1,6.5,3.25,1.375,0.0,193,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8003875969
49,10,0.6892336624000001,0.6892680736,0.5950413223000001,0.6428571429000001,0.6153846154,0.5416666667,1,1,6.5,3.25,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.5859305432
5,10,0.6181102362,0.6305732484000001,0.6526315789,0.6444444444,0.6666666667000001,0.6428571429000001,3,3,1.6,1.1428571429,0.2727272727,1.1594534489,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7708333333
50,11,0.884057971,0.884057971,0.6526315789,1.0,1.0,0.6428571429000001,0,0,2.0,2.0,0.2727272727,0.0,31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8947368421
51,10,0.6000000000000001,0.6000000000000001,0.6460807601,0.3795620438,0.3795620438,0.3851351351,0,1,1.5,1.5,1.5,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5302325581
52,6,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.3795620438,0.3795620438,0.5714285714,0,1,1.5,1.5,1.0,0.0,244,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5882352941
53,3,0.6344827586,0.6344827586,0.7921440262,0.7307692308,0.7307692308,0.7222222222,0,0,0.2,0.2,1.375,1.1594534489,128,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7692307692
54,10,1.0,0.6133333333000001,0.6299212598,0.5,0.4761904762,0.3870967742,0,0,2.0,0.5,0.4,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7142857143
7,1,0.5666666667,0.5666666667,0.5466666667,0.47368421050000004,0.47368421050000004,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-643,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4
8,1,0.8224299065,0.8224299065,0.6460807601,0.37037037040000004,0.37037037040000004,0.3851351351,0,0,0.0,0.0,1.5,1.1594534489,-653,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8965517241000001
9,1,0.6842105263,0.6842105263,0.6842105263,0.4666666667,0.4666666667,0.4666666667,0,0,0.0,0.0,0.0,1.1594534489,-661,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7380952381
